frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
47,1812.6,,,,,,,,,,17,606,571,42.91420051,40.43565758,0.000707448,0.35496196,14.14895352,21.22696576,14,84,47,5.948503041,3.328329082,0,0,0,0,,,,,,,,,,17,204,96,14.44636453,6.79828919,-0.354254512,-0.353547065,-7.078012233,7.070941292
48,1848.4,,,,,,,,,,17,607,572,42.98501602,40.50647309,0,0,0,0,14,84,47,5.948503041,3.328329082,1.057992236,1.060824868,21.20224922,7.039090088,,,,,,,,,,17,204,96,14.44636453,6.79828919,0,0,0,0
49,1881.1,,,,,,,,,,17,607,573,42.98501602,40.5772886,0.399129322,0.564419989,-6.079654565,-16.81281472,15,84,47,5.948503041,3.328329082,3.342289171,4.608225127,80.53574398,77.68344603,,,,,,,,,,17,203,96,14.37554902,6.79828919,-0.165290666,0,10.73316015,0
50,1912.6,,,,,,,,,,17,607,573,42.98501602,40.5772886,0.408723782,0.817447564,-5.988626841,-11.97725368,14,84,47,5.948503041,3.328329082,5.703454134,6.142181375,114.0690827,122.8436275,,,,,,,,,,17,203,96,14.37554902,6.79828919,-0.408723782,0,5.988626841,0
51,1948.6,,,,,,,,,,17,607,572,42.98501602,40.50647309,0,0,0,0,14,87,49,6.160949578,3.469960107,9.076458599,10.06372205,138.8469796,172.6594565,,,,,,,,,,17,204,96,14.44636453,6.79828919,-0.231504788,0,-4.620854044,0
52,2012.4,,,,,,,,,,18,607,572,42.98501602,40.50647309,-0.40141694,-0.233310561,-6.114500227,4.661549678,14,100,65,7.081551239,4.603008305,18.18397882,20.2562677,145.5372133,160.6721149,,,,,,,,,,17,204,96,14.44636453,6.79828919,-0.168106379,0.40141694,-10.7760499,6.114500227
53,2049.1,,,,,,,,,,18,607,573,42.98501602,40.5772886,-0.275219275,-0.275219275,-4.032516855,-4.032516855,14,110,75,7.789706363,5.311163429,23.39918408,26.38468127,145.2090117,173.7497775,,,,,,,,,,17,203,96,14.37554902,6.79828919,0,0,0,0
54,2080.6,,,,,,,,,,17,607,572,42.98501602,40.50647309,-0.267936028,0,-4.059636782,0,14,121,89,8.568676999,6.302580603,28.14709089,32.43650404,150.1019945,166.3220888,,,,,,,,,,17,203,96,14.37554902,6.79828919,-0.000406117,0,8.122349046,0
55,2112.5,,,,,,,,,,17,606,572,42.91420051,40.50647309,-0.407509038,0,5.992779977,0,14,136,105,9.630909685,7.435628801,32.11065446,36.38985452,132.7180442,161.6772721,,,,,,,,,,17,203,97,14.37554902,6.869104702,-0.186745379,0.186745379,10.4036423,-10.4036423
56,2180.3,,,,,,,,,,17,606,572,42.91420051,40.50647309,-0.233853839,-0.233853839,4.663087525,4.663087525,14,171,145,12.10945262,10.2682493,41.87463872,48.78098493,136.4290164,167.6572905,,,,,,,,,,17,203,96,14.37554902,6.79828919,0,0,0,0
57,2212.7,,,,,,,,,,17,606,572,42.91420051,40.50647309,-0.267732815,0,4.06271343,0,13,192,170,13.59657838,12.03863711,46.44223751,53.42281392,126.8873563,151.4115961,,,,,,,,,,17,204,96,14.44636453,6.79828919,-0.001220201,-0.268953016,-8.13467431,-4.07196088
58,2248.5,,,,,,,,,,17,606,572,42.91420051,40.50647309,0.195750197,0.195750197,2.878679366,2.878679366,13,215,196,15.22533516,13.87984043,50.08817429,58.39773628,131.6572475,161.9680478,,,,,,,,,,17,204,96,14.44636453,6.79828919,0.088900392,-0.480400786,-6.350028012,0.592669281
59,2280.6,,,,,,,,,,17,606,572,42.91420051,40.50647309,0.156971056,0,3.130031037,0,13,240,226,16.99572297,16.0043058,54.07735804,63.31149525,106.8953969,122.0836931,,,,,,,,,,17,203,96,14.37554902,6.79828919,-0.156971056,0,-3.130031037,0
60,2344.5,,,,,,,,,,17,606,572,42.91420051,40.50647309,0.237515002,0,3.604173023,0,13,294,288,20.81976064,20.39486757,59.39583073,69.80725565,69.67703234,97.21422684,,,,,,,,,,17,203,95,14.37554902,6.727473677,-0.042081865,-0.042081865,7.514618716,7.514618716
61,2412.5,,,,,,,,,,17,607,573,42.98501602,40.5772886,0.167564918,-0.249116484,-3.222402275,-8.303882785,12,356,362,25.21032241,25.63521549,67.79488207,79.48427026,84.27821334,95.18480566,,,,,,,,,,17,203,95,14.37554902,6.727473677,0.249116484,0.249116484,8.303882785,8.303882785
62,2449,,,,,,,,,,17,607,572,42.98501602,40.50647309,-0.317141918,-0.46982682,-8.760826454,-5.579890979,12,390,401,27.61804983,28.39702047,75.05351249,89.20682511,142.2275774,185.4617921,,,,,,,,,,16,202,96,14.3047335,6.79828919,0.786968738,0,14.34071743,0
63,2487.5,,,,,,,,,,17,607,572,42.98501602,40.50647309,-0.266243749,0,-10.64974996,0,11,424,443,30.02577725,31.37127199,79.35198644,93.91989675,209.4300406,240.0255087,,,,,,,,,,17,204,96,14.44636453,6.79828919,0.195147643,0.195147643,-4.196723503,-4.196723503
64,2516.5,,,,,,,,,,17,607,572,42.98501602,40.50647309,0,-0.327017777,0,6.805780993,12,462,486,32.71676672,34.41633902,81.38907643,96.85023086,177.1486012,238.775975,,,,,,,,,,17,204,96,14.44636453,6.79828919,0.327017777,0.327017777,-6.805780993,-6.805780993
65,2545,,,,,,,,,,17,606,571,42.91420051,40.43565758,-0.027375606,-0.027375606,14.79762462,14.79762462,11,501,534,35.47857171,37.81548362,85.96467133,103.2915019,85.08823192,107.9689739,,,,,,,,,,17,204,96,14.44636453,6.79828919,0.054751211,0,-29.59524924,0
66,2580.5,,,,,,,,,,17,606,572,42.91420051,40.50647309,-0.054009446,0,15.21392852,0,11,541,581,38.3111922,41.1438127,91.83930773,110.009403,59.11450321,105.9853788,,,,,,,,,,17,204,96,14.44636453,6.79828919,-0.340717938,0,-7.327267491,0
67,2612.6,,,,,,,,,,17,607,572,42.98501602,40.50647309,0,0,0,0,11,584,633,41.35625924,44.82621934,92.31578421,112.0594783,50.25426618,77.75362826,,,,,,,,,,17,204,96,14.44636453,6.79828919,-0.328456264,0,-6.835718302,0
68,2644.7,,,,,,,,,,17,607,572,42.98501602,40.50647309,0.001421994,0.709575697,-14.21993958,-0.014248436,11,628,687,44.47214178,48.65025701,96.48949689,117.417003,126.0416688,175.3911285,,,,,,,,,,17,202,96,14.3047335,6.79828919,-0.002843988,0,28.43987915,0
69,2680.6,,,,,,,,,,18,607,572,42.98501602,40.50647309,0.354076856,0,-7.06035605,0,11,675,744,47.80047086,52.68674122,98.58289661,122.2524408,75.62253744,138.6307598,,,,,,,,,,17,203,96,14.37554902,6.79828919,-0.354076856,0,7.06035605,0
70,2716.3,,,,,,,,,,17,607,572,42.98501602,40.50647309,0,0.378950921,0,7.308600213,11,723,803,51.19961546,56.86485645,88.62437797,120.439621,-121.4482149,83.86918278,,,,,,,,,,17,203,96,14.37554902,6.79828919,-0.329517438,0,6.815252079,0
